subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S13618079	1	stable	1	4	980	445	1494	650
S13618079	2	stable	3	4	759	496	452	672
S13618079	3	stable	2	3	598	664	673	588
S13618079	4	unstable	4	4	1238	734	569	518
S13618079	5	unstable	6	4	618	1249	610	594
S13618079	6	unstable	5	4	961	670	608	890
S13618079	7	unstable	6	4	915	658	1342	2519
S13618079	8	unstable	4	3	838	534	539	562
S13618079	9	stable	3	4	981	684	477	635
S13618079	10	stable	1	4	642	518	561	385
S13618079	11	stable	2	4	586	878	1644	595
S13618079	12	unstable	5	4	1687	2034	501	692
S13618079	13	stable	3	4	818	459	497	1080
S13618079	14	unstable	4	4	838	520	722	735
S13618079	15	stable	1	4	601	510	608	767
S13618079	16	unstable	5	4	505	499	682	677
S13618079	17	unstable	6	3	492	462	2143	430
S13618079	18	stable	2	4	717	663	679	548
S13618079	19	unstable	4	4	618	491	862	884
S13618079	20	stable	1	4	741	780	789	787
S13618079	21	unstable	5	4	732	649	780	712
S13618079	22	unstable	6	4	1743	817	993	696
S13618079	23	stable	3	4	1054	703	830	683
S13618079	24	stable	2	4	727	728	913	588
S13618079	25	unstable	6	4	707	784	786	723
S13618079	26	unstable	5	3	671	770	927	565
S13618079	27	stable	3	4	1086	762	675	709
S13618079	28	stable	1	4	908	647	1432	830
S13618079	29	unstable	4	3	709	786	950	770
S13618079	30	stable	2	4	933	627	637	449
S13618079	31	unstable	5	4	797	932	387	602
S13618079	32	unstable	4	4	1992	532	622	1770
S13618079	33	stable	2	2	1204	1433	595	704
S13618079	34	stable	1	3	1132	930	1138	568
S13618079	35	unstable	6	4	1084	599	440	680
S13618079	36	stable	3	4	755	620	733	1496
S16647884	1	stable	1	4	1004	716	976	1382
S16647884	2	stable	2	3	806	913	718	862
S16647884	3	stable	3	4	907	781	714	1091
S16647884	4	unstable	5	3	936	654	781	653
S16647884	5	unstable	4	4	677	756	503	850
S16647884	6	unstable	6	3	950	918	626	658
S16647884	7	unstable	4	4	704	476	868	732
S16647884	8	unstable	6	4	943	792	845	873
S16647884	9	stable	1	3	1493	884	435	1452
S16647884	10	unstable	5	4	622	685	721	640
S16647884	11	stable	3	4	823	866	797	862
S16647884	12	stable	2	4	510	827	946	705
S16647884	13	unstable	4	4	827	672	470	879
S16647884	14	unstable	5	3	819	513	694	1082
S16647884	15	stable	2	4	891	589	716	847
S16647884	16	unstable	6	4	658	492	941	2006
S16647884	17	stable	1	4	656	809	596	724
S16647884	18	stable	3	4	781	570	853	717
S16647884	19	stable	1	4	732	700	895	835
S16647884	20	unstable	5	3	1163	741	1183	882
S16647884	21	unstable	4	4	834	740	874	584
S16647884	22	stable	2	4	811	547	514	601
S16647884	23	stable	3	4	589	648	760	862
S16647884	24	unstable	6	3	507	694	1056	550
S16647884	25	unstable	5	4	836	1034	979	877
S16647884	26	unstable	4	4	877	961	550	403
S16647884	27	unstable	6	3	544	686	852	406
S16647884	28	stable	2	4	956	792	823	1266
S16647884	29	stable	3	4	797	888	799	1280
S16647884	30	stable	1	4	580	641	628	728
S16647884	31	stable	3	4	827	805	686	932
S16647884	32	unstable	4	4	837	638	906	963
S16647884	33	stable	2	4	864	595	603	658
