subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S14140909	1	stable	1	1	3865	2929	1524	1046
S14140909	2	unstable	5	3	2338	1252	900	801
S14140909	3	stable	3	3	1315	650	1256	900
S14140909	4	unstable	4	4	1208	716	562	722
S14140909	5	unstable	6	3	1146	968	924	1024
S14140909	6	stable	2	3	1251	622	1008	902
S14140909	7	unstable	6	4	1520	408	569	1531
S14140909	8	unstable	4	3	1963	694	984	2006
S14140909	9	unstable	5	3	1332	740	759	717
S14140909	10	stable	1	4	1268	678	428	709
S14140909	11	stable	2	2	1075	762	2016	652
S14140909	12	stable	3	3	1133	1024	1292	554
S14140909	13	stable	2	4	1656	576	470	1293
S14140909	14	unstable	5	4	817	1554	600	354
S14140909	15	stable	3	2	1384	855	576	1003
S14140909	16	unstable	4	3	1301	631	718	1009
S14140909	17	stable	1	4	1210	906	671	922
S14140909	18	unstable	6	4	1361	530	854	683
S14140909	19	stable	3	2	1433	610	771	644
S14140909	20	stable	2	4	1474	768	862	671
S14140909	21	unstable	6	3	1913	1583	506	680
S14140909	22	unstable	5	3	1114	862	1022	584
S14140909	23	unstable	4	4	1045	873	470	824
S14140909	24	stable	1	2	1509	2530	584	416
S14140909	25	stable	3	4	1216	830	716	560
S14140909	26	unstable	4	4	2049	550	700	783
S14140909	27	unstable	6	2	2004	934	1479	939
S14140909	28	unstable	5	4	1107	746	576	684
S14140909	29	stable	1	4	1672	683	968	700
S14140909	30	stable	2	3	1247	1217	846	966
S14140909	31	stable	1	4	1737	388	621	1098
S14140909	32	stable	2	4	1058	1123	685	735
S14140909	33	unstable	6	3	738	800	643	511
S14140909	34	unstable	4	4	1228	722	423	761
S14140909	35	stable	3	4	1992	634	1654	4376
S14140909	36	unstable	5	4	1862	946	708	88
S30552798	1	unstable	5	3	770	903	711	816
S30552798	2	unstable	6	4	1029	648	521	919
S30552798	3	stable	3	4	930	608	927	777
S30552798	4	stable	1	4	830	632	648	863
S30552798	5	stable	2	4	702	483	860	536
S30552798	6	unstable	4	4	804	688	745	976
S30552798	7	unstable	4	4	2839	1153	519	697
S30552798	8	stable	2	4	864	520	816	640
S30552798	9	stable	1	3	769	712	816	673
S30552798	10	stable	3	4	794	640	760	481
S30552798	11	unstable	6	4	934	735	552	1107
S30552798	12	unstable	5	3	878	608	673	576
S30552798	13	stable	1	4	1023	464	576	1065
S30552798	14	unstable	6	4	922	768	1376	1264
S30552798	15	stable	2	4	749	838	560	560
S30552798	16	unstable	4	4	808	383	785	752
S30552798	17	unstable	5	4	845	424	1271	857
S30552798	18	stable	3	1	928	593	567	744
S30552798	19	unstable	4	4	924	567	504	808
