subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S10129162	1	stable	2	3	1002	880	1064	1329
S10129162	2	stable	1	4	1360	2032	991	1292
S10129162	3	stable	3	4	1526	968	1440	632
S10129162	4	unstable	4	4	2218	688	758	1041
S10129162	5	unstable	6	3	1462	1037	2191	572
S10129162	6	unstable	5	4	1603	1354	1070	752
S10129162	7	unstable	5	4	1608	2510	882	759
S10129162	8	stable	3	4	1386	986	1039	3370
S10129162	9	stable	2	3	1632	712	2039	578
S10129162	10	unstable	6	4	1548	1922	2956	1008
S10129162	11	stable	1	2	1219	877	814	836
S10129162	12	unstable	4	4	1547	1251	875	806
S10129162	13	stable	1	4	1327	851	742	766
S10129162	14	stable	2	4	3594	1268	929	735
S10129162	15	unstable	4	4	875	875	1236	775
S10129162	16	unstable	6	3	1251	776	867	1045
S10129162	17	stable	3	4	1272	828	938	688
S10129162	18	unstable	5	1	2632	1274	1244	960
S10129162	19	unstable	4	4	1304	7741	859	1938
S10129162	20	unstable	5	4	2584	556	1611	1845
S10129162	21	stable	3	4	1565	619	687	1150
S10129162	22	stable	1	4	1388	892	1023	1057
S10129162	23	stable	2	4	1074	744	1471	1272
S10129162	24	unstable	6	3	1262	1182	1022	1572
S10129162	25	unstable	4	1	1178	1079	2433	914
S10129162	26	stable	1	4	1254	1064	728	784
S10129162	27	stable	2	4	1282	820	1056	1229
S10129162	28	stable	3	2	1264	704	892	711
S10129162	29	unstable	6	3	2174	618	1253	872
S10129162	30	unstable	5	4	1460	1814	828	1220
S10129162	31	stable	1	4	1373	751	788	814
S10129162	32	stable	2	4	1795	782	955	1009
S10129162	33	unstable	6	4	2319	796	1199	766
S10129162	34	unstable	5	4	1395	938	3386	1039
S10129162	35	unstable	4	4	2582	1237	1023	916
S10129162	36	stable	3	4	1471	672	658	97
S11911792	1	stable	3	4	1724	1056	505	1016
S11911792	2	unstable	6	3	1322	1039	872	1176
S11911792	3	stable	2	4	1403	591	777	944
S11911792	4	unstable	4	1	2280	751	1000	944
S11911792	5	unstable	5	3	839	600	841	751
S11911792	6	stable	1	4	1013	680	680	879
S11911792	7	unstable	6	3	1276	1053	700	761
S11911792	8	stable	2	3	1338	639	976	632
S11911792	9	unstable	5	2	836	691	750	591
S11911792	10	unstable	4	3	1465	985	895	904
S11911792	11	stable	1	4	1209	575	736	705
S11911792	12	stable	3	4	833	736	905	712
S11911792	13	stable	3	2	1600	864	1368	872
S11911792	14	unstable	6	3	1497	497	736	887
S11911792	15	unstable	4	2	1743	761	895	817
S11911792	16	unstable	5	2	938	2328	1095	1016
S11911792	17	stable	1	1	1108	743	1248	888
S11911792	18	stable	2	3	821	840	1184	776
S11911792	19	unstable	4	3	844	872	593	752
S11911792	20	stable	3	3	1180	785	1592	2384
S11911792	21	unstable	6	2	791	744	609	824
S11911792	22	unstable	5	2	755	849	736	705
S11911792	23	stable	1	4	877	784	544	840
S11911792	24	stable	2	3	998	656	840	864
S11911792	25	stable	2	3	1034	649	750	1089
S11911792	26	stable	1	4	1424	864	704	623
S11911792	27	unstable	4	3	1200	456	664	536
S11911792	28	unstable	5	4	1186	680	738	734
S11911792	29	unstable	6	4	1196	735	745	880
S11911792	30	stable	3	4	1186	536	840	864
S11911792	31	unstable	5	3	1166	800	944	800
S11911792	32	unstable	4	4	942	649	767	1089
S11911792	33	stable	2	3	1066	672	920	1064
S11911792	34	unstable	6	4	1372	653	747	712
S11911792	35	stable	1	3	947	872	816	640
S11911792	36	stable	3	3	857	616	1104	80
S16502536	1	stable	2	4	1377	1099	672	804
S16502536	2	unstable	6	4	854	826	2039	939
