subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S10828895	1	unstable	5	4	616	633	1046	1234
S10828895	2	stable	3	4	650	758	1165	702
S10828895	3	unstable	6	4	766	773	618	960
S10828895	4	stable	2	4	763	563	788	970
S10828895	5	unstable	4	4	882	602	570	923
S10828895	6	stable	1	4	1069	703	898	430
S10828895	7	unstable	6	3	942	954	952	626
S10828895	8	stable	3	4	997	500	710	595
S10828895	9	unstable	4	3	686	906	671	1017
S10828895	10	unstable	5	3	899	618	625	938
S10828895	11	stable	2	4	1103	521	680	556
S10828895	12	stable	1	4	1089	767	976	695
S10828895	13	stable	1	3	645	694	447	515
S10828895	14	stable	3	4	735	875	750	687
S10828895	15	unstable	4	4	632	696	783	865
S10828895	16	unstable	5	4	733	782	1023	539
S10828895	17	stable	2	4	772	704	796	741
S10828895	18	unstable	6	4	1106	571	625	648
S10828895	19	stable	2	3	834	719	720	1803
S10828895	20	unstable	4	4	722	631	500	897
S10828895	21	stable	1	3	634	460	718	720
S10828895	22	stable	3	3	931	564	382	828
S10828895	23	unstable	6	4	1042	696	688	939
S10828895	24	unstable	5	3	1006	703	812	945
S10828895	25	stable	2	4	917	680	701	782
S10828895	26	unstable	5	4	716	1545	627	780
S10828895	27	unstable	4	2	763	710	758	954
S10828895	28	unstable	6	4	790	453	835	884
S10828895	29	stable	1	4	1138	859	882	901
S10828895	30	stable	3	3	780	773	617	922
S10828895	31	stable	1	3	1204	804	905	702
S10828895	32	unstable	4	4	925	710	867	1001
S10828895	33	unstable	5	4	750	852	640	852
S10828895	34	unstable	6	3	707	680	664	803
S10828895	35	stable	2	4	844	602	664	757
S10828895	36	stable	3	4	1082	804	742	91
S1478670	1	unstable	4	2	1055	593	738	894
S1478670	2	stable	3	4	1167	1103	1380	760
S1478670	3	unstable	5	4	1224	758	814	753
S1478670	4	unstable	6	3	1651	672	744	681
S1478670	5	stable	2	2	2546	843	745	780
S1478670	6	stable	1	3	1273	836	803	708
S1478670	7	unstable	5	4	1392	808	932	944
S1478670	8	unstable	4	4	1821	746	923	847
S1478670	9	stable	1	4	1939	644	645	525
S1478670	10	stable	2	3	1571	1133	578	2386
S1478670	11	unstable	6	2	1378	951	952	1053
S1478670	12	stable	3	4	1188	838	694	1139
S1478670	13	stable	2	4	824	708	1227	1043
S1478670	14	stable	1	3	962	830	658	994
S1478670	15	unstable	6	4	941	592	745	773
S1478670	16	unstable	5	4	1065	821	853	802
S1478670	17	unstable	4	3	823	616	731	595
S1478670	18	stable	3	4	1021	795	1726	595
S1478670	19	unstable	6	4	1327	630	903	657
S1478670	20	unstable	5	4	1254	816	879	768
S1478670	21	stable	3	4	1135	609	937	817
S1478670	22	stable	1	3	844	780	682	1782
S1478670	23	unstable	4	3	955	558	702	966
S1478670	24	stable	2	3	1318	574	752	931
S1478670	25	stable	1	3	1455	767	1159	810
S1478670	26	unstable	6	4	1202	867	794	744
S1478670	27	unstable	4	3	1129	922	1360	1317
S1478670	28	stable	3	4	1213	738	1317	695
S1478670	29	stable	2	3	1095	659	781	880
S1478670	30	unstable	5	4	1226	573	558	816
S1478670	31	stable	2	3	1085	623	686	567
S1478670	32	stable	3	3	845	845	615	1146
S1478670	33	unstable	4	4	854	601	853	515
S1478670	34	stable	1	4	841	658	1296	1052
S1478670	35	unstable	5	4	1065	636	860	960
S1478670	36	unstable	6	3	1178	939	887	103
S16634149	1	unstable	4	4	2170	807	719	12090
S16634149	2	unstable	6	4	4069	929	906	1211
S16634149	3	stable	2	4	852	959	571	831
S16634149	4	unstable	5	4	784	1028	585	1000
S16634149	5	stable	3	4	1030	1708	676	1165
S16634149	6	stable	1	4	3664	909	977	914
S16634149	7	stable	3	4	1268	734	1889	1644
S16634149	8	unstable	6	4	2228	944	813	1262
S16634149	9	unstable	5	4	861	1799	1053	1019
S16634149	10	stable	1	4	3020	1274	1057	1524
S16634149	11	stable	2	4	1959	665	1353	893
S16634149	12	unstable	4	4	1324	907	1184	1064
S16634149	13	unstable	5	4	2905	854	842	1136
S16634149	14	stable	2	4	900	882	973	1189
S16634149	15	stable	3	4	1204	847	1556	1367
S16634149	16	unstable	6	4	2459	539	845	1384
S16634149	17	unstable	4	4	711	1032	918	1326
S16634149	18	stable	1	4	1250	1181	1239	1168
S16634149	19	unstable	5	4	1044	823	1012	1462
S16634149	20	stable	3	4	916	1051	742	894
S16634149	21	unstable	4	4	899	892	851	1303
S16634149	22	stable	1	4	1159	948	1485	775
S16634149	23	unstable	6	4	1022	1008	839	990
S16634149	24	stable	2	4	930	1046	1333	1694
S16634149	25	unstable	5	4	1083	1320	886	970
S16634149	26	unstable	6	4	1013	4870	905	5673
S16634149	27	stable	1	4	877	1039	851	1392
S16634149	28	stable	3	4	904	838	712	989
S16634149	29	stable	2	3	997	1014	810	1297
S16634149	30	unstable	4	4	1055	1003	992	1254
S16634149	31	unstable	5	4	1648	804	878	579
S16634149	32	stable	1	4	925	1109	1004	870
S16634149	33	stable	2	4	888	842	1096	1152
S16634149	34	stable	3	4	1202	738	1034	959
S16634149	35	unstable	4	3	708	937	1142	1904
S16634149	36	unstable	6	3	812	866	1039	98
S28658752	1	unstable	5	3	1029	935	1148	1460
S28658752	2	unstable	6	3	722	1005	1054	1217
S28658752	3	stable	3	4	1008	625	1888	1761
S28658752	4	stable	1	3	2013	1057	1750	970
S28658752	5	unstable	4	3	925	847	945	1718
S28658752	6	stable	2	2	1168	944	1719	1053
S28658752	7	stable	3	4	2289	664	1059	836
S28658752	8	unstable	5	1	1148	1478	1197	564
S28658752	9	stable	2	3	1858	1471	947	1128
S28658752	10	stable	1	2	673	664	1646	875
S28658752	11	unstable	4	3	857	516	710	962
S28658752	12	unstable	6	2	1899	1068	1890	963
S28658752	13	unstable	4	3	909	745	650	666
S28658752	14	stable	1	2	817	1972	1829	1222
S28658752	15	stable	2	3	888	662	777	656
S28658752	16	stable	3	4	1336	1618	573	578
S28658752	17	unstable	5	2	590	538	634	1033
S28658752	18	unstable	6	4	1195	584	483	489
S28658752	19	stable	2	2	1915	970	665	1051
S28658752	20	stable	1	2	886	463	720	1037
S28658752	21	unstable	4	3	716	1155	789	578
S28658752	22	unstable	5	4	2788	592	780	623
S28658752	23	stable	3	3	1288	618	3655	815
S28658752	24	unstable	6	3	1775	1198	862	1287
S28658752	25	stable	1	4	822	585	672	933
S28658752	26	unstable	6	2	942	777	899	620
S28658752	27	unstable	4	3	1980	908	685	1070
S28658752	28	stable	2	3	932	937	1485	979
S28658752	29	unstable	5	2	878	1093	641	943
S28658752	30	stable	3	2	831	769	876	741
S28658752	31	stable	1	2	1581	473	648	977
S28658752	32	unstable	6	3	1243	1128	1099	1506
S28658752	33	unstable	5	3	922	906	1950	1145
S28658752	34	unstable	4	2	1454	443	2460	563
S28658752	35	stable	3	1	973	656	1080	1049
S28658752	36	stable	2	3	2235	1008	2066	125
S33899927	1	unstable	4	4	884	549	578	655
S33899927	2	stable	1	4	1189	670	526	567
S33899927	3	unstable	5	1	941	515	435	696
S33899927	4	stable	3	4	1322	531	472	751
S33899927	5	stable	2	4	1107	497	552	563
S33899927	6	unstable	6	4	852	620	585	751
S33899927	7	stable	2	3	1063	577	740	771
S33899927	8	stable	1	4	969	519	949	783
S33899927	9	unstable	5	4	964	556	550	623
S33899927	10	unstable	4	4	1061	663	528	677
S33899927	11	stable	3	4	996	609	630	669
S33899927	12	unstable	6	4	1214	563	680	653
S33899927	13	unstable	4	4	1217	656	689	611
S33899927	14	stable	1	3	1182	663	639	708
S33899927	15	unstable	6	4	703	532	535	584
S33899927	16	stable	2	4	1032	803	585	1239
S33899927	17	stable	3	2	981	606	551	716
S33899927	18	unstable	5	4	1172	614	702	806
S33899927	19	unstable	5	4	1546	457	665	831
S33899927	20	unstable	4	4	856	724	592	478
S33899927	21	unstable	6	4	1032	973	455	691
S33899927	22	stable	3	3	827	810	582	415
S33899927	23	stable	2	4	1276	756	433	619
S33899927	24	stable	1	4	791	727	633	565
S33899927	25	stable	3	4	1259	695	522	521
S33899927	26	stable	2	4	838	559	904	606
S33899927	27	unstable	6	2	1107	764	1007	657
S33899927	28	stable	1	4	893	664	992	564
S33899927	29	unstable	4	4	1036	547	526	618
S33899927	30	unstable	5	4	1044	524	604	836
S33899927	31	unstable	5	4	1063	521	555	644
S33899927	32	unstable	4	4	1048	545	527	628
S33899927	33	stable	1	4	1722	538	541	693
S33899927	34	unstable	6	4	667	499	480	602
S33899927	35	stable	2	4	986	498	542	518
S33899927	36	stable	3	4	1003	556	433	58
S36719880	1	unstable	5	4	805	497	627	971
S36719880	2	stable	1	4	893	622	709	710
S36719880	3	stable	3	4	671	431	611	625
S36719880	4	unstable	6	4	778	441	453	712
S36719880	5	unstable	4	3	1380	606	704	361
S36719880	6	stable	2	4	1232	798	594	580
S36719880	7	unstable	4	3	794	630	1444	560
S36719880	8	stable	2	4	721	408	742	726
