subject	trial	condition	bkgid	numcorrect	rt1	rt2	rt3	rt4
S13583187	1	unstable	6	4	1793	1543	2601	1687
S13583187	2	unstable	5	4	1473	823	792	1432
S13583187	3	stable	2	3	1554	743	953	1168
S13583187	4	stable	3	3	1777	888	1120	1080
S13583187	5	stable	1	4	1409	1288	1177	1255
S13583187	6	unstable	4	4	1611	728	944	1071
S13583187	7	unstable	5	3	1998	855	976	1336
S13583187	8	stable	2	4	1500	799	560	873
S13583187	9	stable	1	3	1037	583	896	3992
S13583187	10	stable	3	3	1797	1280	936	1673
S13583187	11	unstable	6	3	1379	848	776	840
S13583187	12	unstable	4	2	1613	1303	1360	1016
S13583187	13	unstable	5	3	1700	864	1336	1000
S13583187	14	unstable	6	4	1756	864	704	1321
S13583187	15	stable	3	4	1890	703	864	1121
S13583187	16	unstable	4	4	1354	1607	1240	2568
S13583187	17	stable	1	2	1537	913	919	1512
S13583187	18	stable	2	4	1255	1559	736	985
S13583187	19	stable	3	3	1820	929	1111	2576
S13583187	20	unstable	4	4	1348	1377	959	592
S13583187	21	stable	2	4	1464	649	1128	992
S13583187	22	unstable	6	4	1664	777	1047	824
S13583187	23	stable	1	3	1509	889	1424	919
S13583187	24	unstable	5	4	1370	969	887	1360
S13583187	25	stable	2	4	1367	825	752	856
S13583187	26	stable	3	3	2391	808	1775	1409
S13583187	27	unstable	5	3	1273	1183	1072	792
S13583187	28	stable	1	3	1591	752	1224	1049
S13583187	29	unstable	4	3	1147	1169	1128	1335
S13583187	30	unstable	6	4	1786	1040	1256	1191
S13583187	31	unstable	4	4	1344	967	642	927
S13583187	32	stable	2	4	1572	960	1256	1944
S13583187	33	stable	1	3	1590	1104	1392	1080
S13583187	34	unstable	5	4	1243	1400	1056	1120
S13583187	35	stable	3	3	1255	1536	848	1264
S13583187	36	unstable	6	4	1480	1191	1225	104
S15015695	1	stable	1	3	6292	2984	1658	1905
S15015695	2	unstable	5	2	5102	1890	3234	3515
S15015695	3	stable	3	1	3783	2846	1154	2094
S15015695	4	unstable	6	1	2423	2280	1064	1047
S15015695	5	stable	2	3	8696	1374	2422	1151
S15015695	6	unstable	4	2	1184	687	1625	1891
S15015695	7	unstable	5	2	1608	530	1595	1156
S15015695	8	unstable	6	1	4009	2069	875	1593
S15015695	9	stable	2	3	2371	3375	1250	1595
S15015695	10	stable	3	0	556	5462	1235	2031
S15015695	11	stable	1	2	10064	2629	7074	2827
S15015695	12	unstable	4	3	2781	1142	967	610
S15015695	13	unstable	6	2	1209	1453	812	1330
S15015695	14	unstable	5	4	1692	940	482	2047
S15015695	15	stable	3	3	1611	594	501	2329
S15015695	16	stable	2	2	2278	1234	1055	1117
S15015695	17	unstable	4	1	1435	1125	719	766
S15015695	18	stable	1	3	1145	1298	1301	1168
S15015695	19	unstable	6	4	1390	568	1074	842
S15015695	20	stable	2	3	1479	567	3856	1500
S15015695	21	unstable	5	4	1654	812	953	1047
S15015695	22	unstable	4	3	1489	876	795	689
S15015695	23	stable	1	4	1460	709	681	3422
S15015695	24	stable	3	4	1385	689	952	732
S15015695	25	unstable	5	4	1625	790	1313	672
S15015695	26	unstable	4	4	1830	749	735	1141
S15015695	27	unstable	6	4	1697	1078	750	656
S15015695	28	stable	3	4	1532	1062	938	534
S15015695	29	stable	2	2	2266	500	985	1188
S15015695	30	stable	1	1	1219	798	1000	1094
S15015695	31	stable	3	3	1784	607	1076	687
S15015695	32	unstable	4	3	1444	1923	828	1859
S15015695	33	stable	1	4	2603	938	875	1000
S15015695	34	unstable	5	4	1536	1766	1376	1248
S15015695	35	unstable	6	4	1754	1109	905	954
S15015695	36	stable	2	4	1735	922	954	100
S17071393	1	stable	2	3	1013	722	928	1035
S17071393	2	stable	1	3	1009	816	744	607
S17071393	3	unstable	4	4	1869	567	1079	590
S17071393	4	unstable	6	4	1857	870	567	635
S17071393	5	stable	3	4	1851	823	2555	2050
S17071393	6	unstable	5	4	1961	628	529	489
S17071393	7	stable	2	2	1120	1451	2229	511
S17071393	8	unstable	6	4	1669	730	753	660
S17071393	9	stable	1	4	1751	738	707	729
S17071393	10	stable	3	4	1654	839	659	679
S17071393	11	unstable	4	4	1494	612	645	490
S17071393	12	unstable	5	3	1062	815	970	924
S17071393	13	unstable	4	4	1818	805	490	1313
S17071393	14	stable	1	4	1701	821	831	692
S17071393	15	unstable	6	4	1269	651	652	645
S17071393	16	unstable	5	4	1769	677	581	480
S17071393	17	stable	3	4	1290	1740	674	791
S17071393	18	stable	2	4	1528	612	654	838
S17071393	19	stable	2	4	1620	690	685	776
S17071393	20	stable	1	4	1026	705	676	418
S17071393	21	unstable	5	4	1460	1056	668	1095
S17071393	22	stable	3	4	1217	676	567	683
S17071393	23	unstable	6	3	1765	783	583	451
S17071393	24	unstable	4	3	1304	479	676	631
S17071393	25	unstable	4	3	1626	871	643	676
S17071393	26	unstable	6	4	2131	940	868	1218
S17071393	27	stable	3	4	1563	665	614	558
S17071393	28	stable	2	4	2139	1382	964	464
S17071393	29	unstable	5	4	1827	606	735	793
S17071393	30	stable	1	4	1931	621	829	811
S17071393	31	stable	1	3	1582	590	535	589
S17071393	32	unstable	6	4	1767	698	661	706
S17071393	33	unstable	5	4	1364	606	900	738
S17071393	34	stable	2	3	1766	464	815	483
S17071393	35	stable	3	4	1851	659	768	763
S17071393	36	unstable	4	3	1833	682	668	58
S21702067	1	stable	2	4	1734	1753	1008	1056
S21702067	2	unstable	5	3	863	817	1631	1040
S21702067	3	stable	1	3	1400	1879	881	1255
S21702067	4	unstable	6	3	952	775	1096	1776
S21702067	5	stable	3	4	1095	912	1016	833
S21702067	6	unstable	4	4	1176	1050	549	1048
S21702067	7	unstable	4	4	930	1015	3922	1055
S21702067	8	unstable	5	3	1588	936	1097	727
S21702067	9	stable	1	4	1112	640	1040	1239
S21702067	10	unstable	6	4	2342	1000	1287	1161
S21702067	11	stable	3	4	1170	966	720	1104
S21702067	12	stable	2	3	2345	1024	1089	848
S21702067	13	stable	2	2	753	713	1103	2544
S21702067	14	unstable	4	3	997	799	919	1026
S21702067	15	unstable	5	2	1794	1040	765	1052
S21702067	16	unstable	6	3	993	815	728	1496
S21702067	17	stable	3	4	1685	927	1384	1119
S21702067	18	stable	1	4	870	590	657	888
S21702067	19	unstable	6	3	1461	1432	1039	977
S21702067	20	unstable	5	3	757	504	1489	1023
S21702067	21	stable	2	3	993	1032	1560	1192
S21702067	22	stable	1	3	823	761	663	1495
S21702067	23	unstable	4	4	1466	1712	920	1591
S21702067	24	stable	3	3	726	816	792	1192
S21702067	25	stable	2	2	932	559	985	1040
S21702067	26	unstable	5	2	680	767	1112	1139
S21702067	27	stable	1	3	1090	1176	1680	1080
S21702067	28	unstable	4	3	746	896	1184	1239
S21702067	29	unstable	6	4	3158	944	1865	1039
S21702067	30	stable	3	4	2594	632	1200	768
S21702067	31	unstable	4	4	1299	632	888	808
S21702067	32	stable	1	4	1332	1016	729	1175
S21702067	33	unstable	5	3	1005	975	1145	888
S21702067	34	stable	2	4	1274	961	975	1209
S21702067	35	stable	3	2	747	848	711	1073
S21702067	36	unstable	6	2	886	944	560	83
S23490367	1	stable	1	4	1201	679	897	1024
S23490367	2	unstable	5	4	671	722	592	1455
S23490367	3	stable	3	4	1437	433	624	839
S23490367	4	unstable	6	4	1104	857	943	846
S23490367	5	stable	2	4	1926	1808	1786	1127
S23490367	6	unstable	4	4	587	920	736	929
S23490367	7	unstable	4	4	1434	750	921	777
S23490367	8	stable	3	3	987	591	666	646
S23490367	9	stable	1	4	1785	729	806	449
S23490367	10	unstable	5	4	1570	744	865	816
S23490367	11	stable	2	3	819	865	888	912
S23490367	12	unstable	6	4	1067	1481	928	680
S23490367	13	unstable	4	4	1250	912	752	832
S23490367	14	stable	2	4	1231	1057	705	1047
S23490367	15	stable	1	4	1322	888	680	679
S23490367	16	unstable	6	4	1261	1073	839	792
S23490367	17	unstable	5	4	1489	1288	1304	744
S23490367	18	stable	3	4	1178	712	752	729
S23490367	19	unstable	4	3	652	761	759	624
S23490367	20	unstable	5	4	1033	961	737	1794
S23490367	21	stable	2	4	986	938	1239	1095
S23490367	22	unstable	6	4	1193	650	658	1163
S23490367	23	stable	1	3	1897	1689	791	816
S23490367	24	stable	3	3	1109	1112	984	680
S23490367	25	unstable	6	4	1634	751	872	760
S23490367	26	unstable	4	4	1203	920	2538	1463
S23490367	27	stable	2	3	1044	1176	909	568
S23490367	28	stable	1	4	1420	593	2345	967
S23490367	29	unstable	5	4	1731	1145	559	1866
S23490367	30	stable	3	3	1620	864	1353	881
S23490367	31	stable	2	4	992	2248	1255	1714
S23490367	32	unstable	5	4	1101	890	1510	1618
S23490367	33	unstable	6	4	1413	1240	1440	1552
S23490367	34	unstable	4	3	1686	640	921	1023
S23490367	35	stable	1	4	1479	784	745	1112
S23490367	36	stable	3	4	1490	728	848	139
S30849534	1	unstable	6	4	1537	993	735	755
S30849534	2	stable	3	3	1404	577	1352	1555
S30849534	3	stable	1	4	2430	1205	878	993
S30849534	4	unstable	4	4	2062	848	833	1316
S30849534	5	unstable	5	4	2707	750	1043	1138
S30849534	6	stable	2	4	2329	1076	1216	831
S30849534	7	stable	1	4	1804	820	849	912
S30849534	8	stable	2	4	1926	1192	1092	784
S30849534	9	unstable	6	4	2202	936	772	769
S30849534	10	unstable	5	3	2416	1010	783	1244
S30849534	11	unstable	4	1	10764	975	1156	978
S30849534	12	stable	3	4	1417	768	672	1123
S30849534	13	stable	1	4	4466	805	1074	911
S30849534	14	unstable	5	4	1219	1281	767	1092
S30849534	15	stable	3	4	1285	1044	800	863
S30849534	16	stable	2	4	2371	1125	705	1055
S30849534	17	unstable	6	4	1201	1153	942	708
S30849534	18	unstable	4	4	827	673	820	689
S30849534	19	unstable	4	4	1694	913	847	754
S30849534	20	stable	3	4	1969	806	801	2618
S30849534	21	stable	2	3	2748	960	896	1061
S30849534	22	unstable	6	4	1584	837	712	873
S30849534	23	unstable	5	4	1118	1760	576	1053
S30849534	24	stable	1	4	1498	962	669	909
S30849534	25	stable	2	4	2180	868	624	1060
S30849534	26	unstable	5	4	2341	821	1019	1072
S30849534	27	unstable	6	4	1241	814	854	1120
S30849534	28	unstable	4	3	1336	1090	784	591
S30849534	29	stable	3	4	1372	761	1556	816
S30849534	30	stable	1	4	1686	743	924	704
S30849534	31	stable	3	4	1218	930	1263	898
S30849534	32	unstable	6	4	1195	856	704	1205
S30849534	33	unstable	4	4	1709	863	2404	1396
S30849534	34	stable	2	4	2359	767	1060	883
S30849534	35	stable	1	4	2855	2781	823	963
S30849534	36	unstable	5	4	1113	1007	944	120
S37727010	1	unstable	6	4	1842	1296	1032	584
S37727010	2	stable	2	2	1659	714	560	543
S37727010	3	unstable	4	4	1619	879	1257	704
S37727010	4	stable	3	3	1816	840	696	952
S37727010	5	unstable	5	4	3285	1215	1625	759
S37727010	6	stable	1	4	2127	768	729	504
S37727010	7	unstable	4	4	1632	768	1024	752
S37727010	8	stable	2	4	1786	647	753	695
S37727010	9	stable	1	3	1528	1041	552	1048
S37727010	10	stable	3	4	2526	640	720	1312
S37727010	11	unstable	5	4	2188	641	471	368
S37727010	12	unstable	6	4	1617	809	983	497
S37727010	13	unstable	4	3	1791	801	944	800
S37727010	14	stable	1	4	1488	447	632	848
S37727010	15	stable	2	4	1982	608	593	616
S37727010	16	stable	3	4	1660	688	1319	648
S37727010	17	unstable	6	4	1803	744	528	800
S37727010	18	unstable	5	3	1818	944	497	1071
S37727010	19	stable	1	1	1789	625	607	728
S37727010	20	unstable	5	4	1704	591	657	704
S37727010	21	stable	2	4	1434	456	680	608
S37727010	22	stable	3	4	1839	400	808	513
S37727010	23	unstable	4	4	2757	584	576	551
S37727010	24	unstable	6	4	2303	592	544	512
S37727010	25	stable	3	4	1517	592	472	784
S37727010	26	stable	1	3	1403	768	600	552
S37727010	27	stable	2	3	1500	575	617	544
S37727010	28	unstable	6	4	1398	1152	464	737
S37727010	29	unstable	5	4	2030	785	623	720
S37727010	30	unstable	4	4	1530	640	600	631
S37727010	31	unstable	5	4	1579	600	560	408
S37727010	32	stable	3	3	1841	600	416	760
S37727010	33	stable	1	2	1644	552	1328	721
S37727010	34	unstable	6	4	1279	752	728	488
S37727010	35	stable	2	4	1595	536	417	503
S37727010	36	unstable	4	4	2010	591	624	74
S37980466	1	stable	1	3	1029	887	913	1088
S37980466	2	unstable	6	4	825	751	625	663
S37980466	3	stable	2	3	1014	770	671	920
S37980466	4	stable	3	3	921	655	736	777
S37980466	5	unstable	5	2	1453	1313	607	601
S37980466	6	unstable	4	3	888	696	745	584
S37980466	7	stable	3	2	563	839	584	1225
S37980466	8	unstable	4	2	623	761	577	567
S37980466	9	unstable	5	4	621	721	616	623
S37980466	10	stable	1	3	1852	543	568	1608
S37980466	11	stable	2	4	1745	608	592	567
S37980466	12	unstable	6	4	994	529	943	713
S37980466	13	unstable	4	2	661	1583	674	735
S37980466	14	stable	3	2	738	591	720	400
S37980466	15	unstable	5	2	855	1223	800	665
S37980466	16	stable	1	3	619	768	649	703
S37980466	17	unstable	6	1	573	584	601	655
S37980466	18	stable	2	1	594	792	640	1992
S37980466	19	unstable	6	3	526	1072	1855	1928
S37980466	20	unstable	5	4	758	567	576	522
S37980466	21	stable	2	4	600	591	383	689
S37980466	22	stable	1	2	1293	743	415	384
S37980466	23	stable	3	4	815	1207	720	745
S37980466	24	unstable	4	4	924	456	569	615
S37980466	25	unstable	6	4	1010	543	649	759
S37980466	26	stable	2	4	2431	711	681	487
S37980466	27	unstable	4	2	635	586	662	489
S37980466	28	stable	3	2	703	520	671	784
S37980466	29	stable	1	3	679	519	664	912
S37980466	30	unstable	5	2	849	727	824	735
S37980466	31	unstable	6	2	937	656	751	537
S37980466	32	unstable	5	2	955	553	583	616
S37980466	33	unstable	4	2	804	432	768	616
S37980466	34	stable	2	2	1265	823	680	600
S37980466	35	stable	3	2	1125	1304	640	433
S37980466	36	stable	1	1	1124	535	599	60
S38289130	1	unstable	5	2	5372	11030	1959	1213
S38289130	2	unstable	4	4	2370	1428	975	1208
S38289130	3	stable	2	4	1990	756	1302	1444
S38289130	4	unstable	6	4	2018	1170	877	840
S38289130	5	stable	3	3	1749	716	959	1091
S38289130	6	stable	1	2	1783	666	1286	1072
S38289130	7	stable	1	4	2482	752	632	918
S38289130	8	unstable	6	3	1991	937	952	1335
S38289130	9	unstable	5	3	1781	627	1024	1248
S38289130	10	stable	3	4	2069	1514	879	843
S38289130	11	stable	2	4	1685	968	877	880
S38289130	12	unstable	4	4	2769	1093	826	1000
S38289130	13	unstable	6	4	1512	1490	1118	998
S38289130	14	stable	1	3	1440	976	1166	1014
S38289130	15	stable	2	3	1429	905	1161	1259
S38289130	16	unstable	5	3	2364	962	935	1163
S38289130	17	unstable	4	4	1748	899	1167	1015
S38289130	18	stable	3	4	1180	680	816	902
S38289130	19	unstable	4	4	3832	1062	1092	902
S38289130	20	unstable	5	3	1689	936	960	1042
S38289130	21	stable	3	2	1190	914	1640	1101
S38289130	22	stable	2	4	1360	936	808	1113
S38289130	23	stable	1	4	1990	922	711	872
S38289130	24	unstable	6	3	2034	927	1998	1916
S38289130	25	stable	3	3	1914	1080	1098	823
S38289130	26	stable	2	3	1332	2628	752	1105
S38289130	27	unstable	5	2	1275	961	1060	807
S38289130	28	unstable	6	2	1589	790	1549	975
S38289130	29	stable	1	3	1242	1496	852	2292
S38289130	30	unstable	4	3	2266	944	1007	880
S38289130	31	unstable	6	4	960	767	1632	858
S38289130	32	stable	3	3	1577	880	2272	1392
S38289130	33	unstable	4	4	1863	919	1780	1088
S38289130	34	stable	1	3	1851	1125	1335	878
S38289130	35	stable	2	4	1874	976	966	1133
S38289130	36	unstable	5	3	1781	1090	1136	112
S39492032	1	unstable	6	1	1624	856	2000	791
S39492032	2	stable	1	3	1168	712	865	767
S39492032	3	stable	2	3	1219	737	559	512
S39492032	4	unstable	4	4	1197	680	512	777
S39492032	5	unstable	5	4	884	945	800	807
S39492032	6	stable	3	4	1378	696	1920	1312
S39492032	7	unstable	6	4	801	529	856	808
S39492032	8	stable	2	4	1123	679	512	720
S39492032	9	unstable	5	3	961	672	527	593
S39492032	10	stable	3	4	1027	896	1368	775
S39492032	11	stable	1	4	1060	545	663	808
S39492032	12	unstable	4	4	1077	432	544	656
S39492032	13	stable	3	3	1004	1256	1448	960
S39492032	14	unstable	4	4	799	529	560	527
S39492032	15	unstable	5	4	1501	1160	632	672
S39492032	16	unstable	6	4	1031	657	623	848
S39492032	17	stable	1	4	1181	646	793	623
S39492032	18	stable	2	4	991	944	848	855
S39492032	19	stable	1	4	1633	1559	1096	961
S39492032	20	stable	2	4	1087	544	551	817
S39492032	21	unstable	4	4	1249	616	856	504
S39492032	22	unstable	5	4	875	768	631	697
S39492032	23	stable	3	4	1109	601	592	1153
S39492032	24	unstable	6	4	1614	472	768	720
S39492032	25	stable	3	4	943	1184	665	935
S39492032	26	unstable	5	3	1192	1824	712	824
S39492032	27	stable	2	4	1104	1464	720	800
S39492032	28	unstable	4	4	1056	1744	433	744
S39492032	29	unstable	6	4	1512	793	1247	1104
S39492032	30	stable	1	3	968	663	752	432
