208.38.240.182 12/February/2019 02:16:39 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 startedcalibration instrw:1440 instrh:698
208.38.240.182 12/February/2019 02:18:47 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 calibrationvelocity:1.51 log:;(7431,1);(7394,1);(7465,1.28);(7488,1.57);(7507,1.48) calibw:1440 calibh:698
208.38.240.182 12/February/2019 02:33:13 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 accstable:0.24 accunstable:0.43 objstable:0.73 objunstable:0.8 numcorrectstable:5 numcorrectunstable:9 resplog:(1,stable,2,4,723,546,606,1351)(2,unstable,5,1,525,1014,853,752)(3,stable,3,2,773,1419,608,698)(4,unstable,4,2,950,676,1091,783)(5,stable,1,3,1004,1589,592,661)(6,unstable,6,3,1215,915,415,584)(7,stable,2,2,1169,444,1753,791)(8,unstable,6,4,945,989,548,508)(9,stable,3,2,1056,622,922,424)(10,unstable,4,4,989,1368,792,2689)(11,unstable,5,4,1340,469,429,930)(12,stable,1,2,1122,638,308,560)(13,stable,3,4,1266,591,384,614)(14,unstable,6,4,1089,292,629,1291)(15,stable,2,4,1337,530,405,647)(16,stable,1,3,741,901,529,1181)(17,unstable,4,4,1094,744,462,799)(18,unstable,5,4,1742,653,747,567)(19,unstable,6,3,1131,682,562,522)(20,stable,1,3,507,908,630,476)(21,unstable,5,4,958,475,508,392)(22,stable,3,4,913,407,653,354)(23,unstable,4,4,1993,609,468,437)(24,stable,2,2,720,332,368,722)(25,stable,2,3,674,345,614,731)(26,unstable,5,2,876,375,531,838)(27,unstable,6,3,568,713,630,452)(28,stable,3,3,890,531,797,371)(29,unstable,4,3,692,363,738,1368)(30,stable,1,1,5679,1339,615,1176)(31,unstable,6,3,835,438,678,406)(32,unstable,4,2,1092,384,369,398)(33,unstable,5,3,978,1145,882,555)(34,stable,2,4,1084,670,290,315)(35,stable,3,3,1689,768,1276,759)(36,stable,1,3,863,699,306,809)(37,stable,2,3,982,454,698,600)(38,unstable,5,3,1555,551,524,607)(39,stable,3,3,446,638,432,566)(40,stable,1,3,3811,652,794,1118)(41,unstable,6,4,1470,739,492,606)(42,unstable,4,3,1129,404,870,874) testw:1440 testh:698
208.38.240.182 12/February/2019 02:34:45 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 age:34 gender:female monitor:I'm not sure about resolution but its 14 inches I think on a Macbook Air
208.38.240.182 12/February/2019 02:34:52 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 whattesting:I'm really not sure
208.38.240.182 12/February/2019 02:35:05 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 howwell:I think I did okay in the beginning then it got harder towards the end
208.38.240.182 12/February/2019 02:35:13 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 strategies:no
208.38.240.182 12/February/2019 02:35:58 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 background:At first it was just black screen with white dots, then it was like an office scene with a desk and a chair with a laptop on the desk and the screen was black with the white dots on it
208.38.240.182 12/February/2019 02:36:05 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 bkgdiff:no
208.38.240.182 12/February/2019 02:36:11 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 unstable:no
208.38.240.182 12/February/2019 02:36:14 Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36 S66040635 problems:no
